m,N1,N2,P
0.1,1.7144122794702e-132,0.175438596491209,0.781163434903057
0.15000000000000002,1.09334936014271e-109,0.27027027027027,0.710007304601899
0.2,8.45038964169345e-86,0.37037037037037,0.62962962962963
0.25,9.91601334944202e-61,0.476190476190477,0.538775510204081
0.30000000000000004,1.88759005692958e-34,0.588235294117647,0.43598615916955
0.35,2.36799820295756e-07,0.707070179146568,0.319559547664615
0.4,0.0738396624472577,0.685654008438819,0.278876582278481
0.45000000000000007,0.167415271539404,0.632911392405063,0.251320486307775
0.5,0.267229254571027,0.576652601969058,0.219409282700422
0.55,0.373926960570347,0.516513894951259,0.182422974457773
0.6,0.488245931283906,0.452079566003617,0.139498837509687
0.65,0.611032973902172,0.382872323800594,0.0895973329166016
0.7000000000000001,0.743265160538156,0.308341457142509,0.0314583221538773
0.75,0.810810675402401,0.270270367420103,4.94445695589933e-08
0.8,0.81081081081081,0.270270270270271,1.21755194283287e-18
0.85,0.81081081081081,0.270270270270271,2.03940961197918e-29
0.9,0.81081081081081,0.270270270270271,3.12065493921931e-40
0.9500000000000001,0.81081081081081,0.270270270270271,4.60228046588511e-51
1,0.81081081081081,0.270270270270271,6.66112005925244e-62
